Time (s),Rx (V),Tx (V)
0.00130675,-0.0184737,0.168113
0.00130738,-0.0250665,0.175399
0.00130801,-0.0250665,0.168113
0.00130864,-0.0217701,0.175399
0.00130927,-0.0184737,0.175399
0.0013099,-0.0184737,0.171756
0.00131053,-0.0217701,0.171756
0.00131116,-0.0217701,0.171756
0.00131179,-0.0217701,0.171756
0.00131242,-0.0184737,0.168113
0.00131305,-0.0184737,0.168113
0.00131368,-0.0184737,0.164469
0.00131431,-0.0184737,0.164469
0.00131494,-0.0184737,0.168113
0.00131557,-0.0184737,0.171756
0.0013162,-0.0184737,0.168113
0.00131683,-0.0184737,0.164469
0.00131746,-0.0184737,0.164469
0.00131809,-0.0184737,0.168113
0.00131872,-0.0217701,0.168113
0.00131935,-0.0184737,0.168113
0.00131998,-0.0184737,0.164469
0.00132061,-0.0217701,0.168113
0.00132124,-0.0250665,0.168113
0.00132187,-0.0217701,0.168113
0.0013225,-0.0217701,0.168113
0.00132313,-0.0217701,0.164469
0.00132376,-0.0184737,0.168113
0.00132439,-0.0151773,0.171756
0.00132502,-0.0184737,0.164469
0.00132565,-0.0217701,0.164469
0.00132628,-0.0250665,0.164469
0.00132691,-0.0250665,0.160826
0.00132754,-0.0217701,0.164469
0.00132817,-0.0217701,0.168113
0.0013288,-0.0217701,0.168113
0.00132943,-0.0217701,0.168113
0.00133006,-0.0217701,0.168113
0.00133069,-0.0217701,0.168113
0.00133132,-0.0217701,0.168113
0.00133195,-0.0184737,0.171756
0.00133258,-0.0151773,0.168113
0.00133321,-0.0184737,0.168113
0.00133384,-0.0184737,0.168113
0.00133447,-0.0184737,0.175399
0.0013351,-0.0217701,0.168113
0.00133573,-0.0250665,0.168113
0.00133636,-0.0217701,0.164469
0.00133699,-0.0184737,0.168113
0.00133762,-0.0184737,0.171756
0.00133825,-0.0184737,0.171756
0.00133888,-0.0217701,0.171756
0.00133951,-0.0184737,0.164469
0.00134014,-0.0217701,0.164469
0.00134077,-0.0250665,0.168113
0.0013414,-0.0184737,0.164469
0.00134203,-0.0151773,0.171756
0.00134266,-0.0217701,0.168113
0.00134329,-0.0250665,0.168113
0.00134392,-0.0184737,0.164469
0.00134455,-0.0184737,0.164469
0.00134518,-0.0184737,0.168113
0.00134581,-0.0184737,0.168113
